NSPIS Agency,NSPIS,Model 1 Detail,Latitude,Longitude,NSPIS Street Address,Place,Postcode,Opening hours
Cohealth - Niddrie,1075,Fixed Site,-37.73522,144.888945,3-15 Matthews Avenue,NIDDRIE,3042,"9am to 5pm, Monday to Friday"
Cohuna District Hospital,1344,Fixed Site,-35.800185,144.214633,King George Street,COHUNA,3568,"At the Centre 24 hours per day, seven days per week."
Colac Area Health,1063,Fixed Site,-38.340841,143.582254,"Urgent Care Department, 2-28 Connor Street",COLAC,3250,"24 hours a day, 7 days a week."
Collins Place Pharmacy,1428,Pharmacy,-37.814234,144.972413,"Shop 59-60, Collins Place, 45 Collins Street",MELBOURNE,3000,M-F 8am-6pm; Sat 10am-2pm
Community Care Chemist - North Geelong,1692,Pharmacy,-38.111078,144.342919,75 Separation Street,NORTH GEELONG,3215,Mon - Fri 9am - 5:30pm; Sat 9am - 12:30pm; Sun CLOSED
Community Pharmacy Elsternwick,1756,Pharmacy,-37.884516,145.003561,355 Glenhuntly Road,ELSTERNWICK,3185,Mon - Fri 9:00am - 6pm; Sat 9am - 3pm; Sun/Public Hols CLOSED
Connect Health and Community,1035,Fixed Site,-37.920122,145.062264,2A Gardeners Road,BENTLEIGH EAST,3165,"12:45 pm - 4:45 pm, Monday to Friday."
Core Pharmacy Tullamarine,1658,Pharmacy,-37.701354,144.881021,195 Melrose Drive,TULLAMARINE,3043,"M-F 9am-7pm, Sat 9am-5pm"
Corner Amcal - Bairnsdale,1585,Pharmacy,-37.825994,147.629524,190-192 Main Street,BAIRNSDALE,3875,M-F 8am-7pm; Sat 8:30am-2pm; Sun 10am-1pm
Craigieburn Supersaver Chemist,1602,Pharmacy,-37.591406,144.941364,77 Hamilton Street,CRAIGIEBURN,3064,M-F 9am-8pm; Sat 9am-4pm; Sun 12pm-4pm
Cranbourne Central Pharmacy,1717,Pharmacy,-38.110977,145.283093,73 High Street,CRANBOURNE,3977,Mon - Fri 9am - 6pm; Sat 9am - 1pm; Sun CLOSED
Creative Medicine Pharmacy,1502,Pharmacy,-37.841651,144.939847,86 Bay Street,PORT MELBOURNE,3207,M-F 9.30am-7pm; Sat 10am-2.30pm; Sun 10am-1pm
Creswick Pharmacy,1522,Pharmacy,-37.422984,143.895315,56 Albert Street,CRESWICK,3363,M-F 9am-5.30pm; Sat 9am-12noon (Closed Sundays & Public Holidays)
Croydon North Discount Pharmacy,1760,Pharmacy,-37.771118,145.294047,"Shops 9 & 10, 401 Maroondah Hwy",CROYDON NORTH,3136,9am - 9pm 7 Days a Week
Daffeys Pharmacy,1395,Pharmacy,-37.80117,144.899118,130 Nicholson Street,FOOTSCRAY,3011,M-F 9am-6pm; Sat 9am-2.30pm
Dallas Pharmacy,1545,Pharmacy,-37.673234,144.930694,2 Dargie Court,DALLAS,3047,M-F 9am-6pm; Sat 9am-4pm
Dandenong Plaza Pharmacy,1651,Pharmacy,-37.979187,145.221871,"Shop 3, 30 Stud Rd",DANDENONG,3175,"M-F 9am-6pm, Sat 8am-2pm, Sun 10am-2pm"
David Jones Pharmacy,1423,Pharmacy,-37.889563,145.067242,448 Neerim Road,MURRUMBEENA,3163,M-F 9am-6.30pm; Sat 9am-1pm
David Nolte Pharmacy,1404,Pharmacy,-37.788437,144.971809,701 Rathdowne Street,CARLTON NORTH,3054,M-F 9am-6pm; Saturday 9am-1pm
Davies and Moller - Princes Drive,1617,Pharmacy,-38.237211,146.400906,187 Princes Drive,MORWELL,3840,M-F 8:30am-6:30pm; Sat 8:30am-1pm; Sun 10am-12:30pm
Deepdene Pharmacy,1434,Pharmacy,-37.810744,145.065517,73 Whitehorse Road,DEEPDENE,3103,M-F 9am-6pm; Sat 9am-1pm
Derrimut Road Clinic Pharmacy,1705,Pharmacy,-37.847507,144.689608,"Shops 1 & 2, 412 Derrimut Road",TARNEIT,3029,M-F 9am-7pm; Sa-Su 9am-3pm
DG Grey & Burns Pharmacy,1452,Pharmacy,-37.797848,145.280428,161 Main Road,CROYDON,3136,M-Th 9am-6pm; Fri 9am-9pm; Sat 9am-4pm; Sun 10am-12.30pm
Diamond Creek Pharmacy,1546,Pharmacy,-37.673863,145.158747,"Shop 3, Diamond Creek Shopping Centre, 67 Main Hurstbridge Road",DIAMOND CREEK,3089,M-F 9am-9pm; Sat 9am-5pm; Sun & public hols 10am-5pm
Dianella Community Health - Broadmeadows,1073,Fixed Site,-37.683982,144.913418,42-48 Coleraine Street,BROADMEADOWS,3047,M-W 8am-7pm; Th-Sun 9am-9pm
Dianella Community Health - Craigieburn,1284,Fixed Site,-37.598718,144.936881,55 Craigieburn Road,CRAIGIEBURN,3064,M-F 9am-5pm
Dimboola Pharmacy,1622,Pharmacy,-36.454068,142.026909,110 Lloyd Street,DIMBOOLA,3414,M-F 9am-5:30pm; Sat 9am-12pm
Direct Chemist Outlet - Barrabool Hills,1747,Pharmacy,-18.610075,144.308659,"Shop 1, 4-46 Province Blvd",HIGHTON,3216,Mon-Fri 9am - 7pm; Sat 9am - 5pm; Sun 10am - 4pm; Pub Hols 10am - 2pm
Direct Chemist Outlet - Delacombe,1775,Pharmacy,-37.590786,143.805145,315 Glenelg Highway,DELACOMBE,3356,Mon - Fri: 8:30am - 7pm; Sat 9am - 5pm; Sun 10am - 4pm
Direct Chemist Outlet - Koo Wee Rup,1578,Pharmacy,-38.198987,145.491278,"Shop 1, Station Street Shopping Centre, 29-65 Station Street",KOO WEE RUP,3981,M-F 9am-5:30pm; Sat 9am-12pm
Direct Chemist Outlet - Lalor,1722,Pharmacy,-37.67278,145.016407,340 Station Street,LALOR,3075,Mon - Fri 8:30am - 9pm; Sat 9am - 6pm; Sunday & Public Hols 10am - 5pm
Direct Chemist Outlet - Leopold,1721,Pharmacy,-38.186096,144.453847,"Shop 1, Gateway Plaza, 641-659 Bellarine Highway",LEOPOLD,3224,Mon - Fri 8:30am - 7pm; Sat 9am - 5pm; Sunday & Public Hols 10am - 4pm
Direct Chemist Outlet - Ocean Grove,1499,Pharmacy,-38.258848,144.547473,"Shop 1, Ocean Grove Shopping Centre, Cnr Shell Road & Kingston Downes Drive",OCEAN GROVE,3226,M-F 9am-6pm; Sat 9am-5pm; Sun/Public Hols 10am-4pm
Direct Chemist Outlet - Rosebud,1471,Pharmacy,-38.355459,144.906753,999 Point Nepean Road,ROSEBUD,3939,M-F 9am-6pm; Sat 9am-5pm; Sun 9am-6pm; Pub Hols 9am-1pm; Closed Christmas Day and Good Friday
Direct Chemist Outlet - Somerville Plaza,1683,Pharmacy,-38.22423,145.171914,23/17 Eramosa Road West,SOMERVILLE,3912,Mon-Fri: 9am - 6pm; Sat: 9am - 1pm; Sunday - CLOSED
Direct Chemist Outlet - Target Warrnambool,1549,Pharmacy,-38.382839,142.482357,"Shop T11, The Target Centre, 154 Koroit Street",WARRNAMBOOL,3280,M-F 8.30am-6pm; Sat 9am-5pm
Direct Chemist Outlet - Werribee,1293,Pharmacy,-37.889772,144.661128,"Shop 10, Werribee Village, Cnr Tarneit & Shaws Roads",WERRIBEE,3030,M-F 9am-7pm; Sat 9am-5pm; Sun 10am-5pm
Discount Drug Stores - Ashwood,1394,Pharmacy,-37.864323,145.092751,380 Warrigal Road,ASHWOOD,3147,M-Sat 9am-9pm; Sun 9am-5pm
Discount Drug Stores - Hastings,1350,Pharmacy,-38.307489,145.1917,40 High Street,HASTINGS,3915,Monday - Friday 8.30-6.00; Saturday 8.30-1.00; Sunday 9.00-1.00
Discount Pharmacy - Heidelberg West,1439,Pharmacy,-37.749198,145.041211,"Shop 1, 15-23 Bell Street",HEIDELBERG WEST,3081,M-F 9am-5.30pm; Sat 9am-5pm; Sun 10am-2pm
Djerriwarrh Health Services - Bacchus Marsh,1319,Fixed Site,-37.677097,144.434751,Turner Street,BACCHUS MARSH,3340,9.00am to 5.00pm Monday to Friday.
Djerriwarrh Health Services - Hospital Bacchus Marsh,1321,Fixed Site,-37.678293,144.432841,Grant Street,BACCHUS MARSH,3340,"5:00pm to 9:00am, Monday to Friday; anytime Saturday, Sunday and public holidays."
Djerriwarrh Health Services - Melton Health,1539,Fixed Site,-37.686449,144.558284,195-209 Barries Road,MELTON WEST,3337,9am-10pm M-Sun
Djerriwarrh Health Services - Unitt St Melton,1675,Fixed Site,-37.681984,144.584439,35 Unitt Street,MELTON,3337,"9am to 5pm, Monday to Friday"
Djerriwarrh Health Services - Yuille St Melton,1074,Fixed Site,-37.682007,144.584488,Cnr High & Yuille Streets,MELTON,3337,"9am to 5pm, Monday to Friday"
Drysdale Pharmacy,1645,Pharmacy,-38.171852,144.570855,1/19 Clifton Springs Road,DRYSDALE,3222,M-F 8:45am-5:30pm; Sa 9am-12noon
Dunearn Pharmacy,1421,Pharmacy,-37.968125,145.202633,1/11A Dunearn Road,DANDENONG NORTH,3175,M-F 8.15am-6pm; Sat 8.15am-12.30pm
Dunmunkle Health Services - Minyip,1079,Fixed Site,-36.463782,142.591923,23-25 Church Street,MINYIP,3392,At the service at any time
Dunmunkle Health Services - Murtoa,1080,Fixed Site,-36.620006,142.470778,28 Marma Street,MURTOA,3390,normal hours of operation
Dunmunkle Health Services - Rupanyup,1081,Fixed Site,-36.63655,142.631662,89 Cromie Street,RUPANYUP,3388,At the service at any time
Dunolly Pharmacy,1679,Pharmacy,-36.858119,143.730088,119 Broadway,DUNOLLY,3472,Mon - Fri 9:00am - 6:00pm; Sat 9:00am - 1:00pm
EACH - Knox,1125,Fixed Site,-37.88847,145.294097,1063 Burwood Highway,FERNTREE GULLY,3156,M - F - 9.00 - 5.00
EACH - Ringwood,1265,Fixed Site,-37.809,145.230779,46 Warrandyte Road,RINGWOOD,3134,"9am to 5pm, Monday to Friday"
EACH - Ringwood East,1083,Fixed Site,-37.811081,145.251256,75 Patterson Street,RINGWOOD EAST,3135,"9am to 5pm, Monday to Friday"
East Bentleigh Pharmacy,1457,Pharmacy,-37.92286,145.074243,953 Centre Road,BENTLEIGH EAST,3165,M-F 9am-6pm; Sat 9am-12.30pm
East Grampians Health Service,1746,Fixed Site,-37.279499,142.932325,Girdlestone Street,ARARAT,3377,"24 hours, 7 days a week"
East Ivanhoe Pharmacy,1445,Pharmacy,-37.773022,145.059552,254 Lower Heidelberg Road,IVANHOE EAST,3079,M-F 9am-5.30pm; Sat 9am-12.30pm
East Wimmera Health Service - Birchip,1687,Fixed Site,-35.979895,142.915296,26 Duncan Street,BIRCHIP,3483,24 / 7
East Wimmera Health Service - Charlton,1689,Fixed Site,-36.270893,143.352054,94 High Street,CHARLTON,3525,Mon-Fri 9am to 4pm
East Wimmera Health Service - Donald,1686,Fixed Site,-36.370588,142.982445,Atkin Avenue,DONALD,3480,
East Wimmera Health Service - St Arnaud,1082,Fixed Site,-36.608745,143.246935,52 North Western Road,ST ARNAUD,3478,24 / 7
East Wimmera Health Service - Wycheproof,1688,Fixed Site,-36.078528,143.23375,19 Grandview Street,WYCHEPROOF,3527,24 / 7
Eastern Health - Healesville & District Hospital,1247,Fixed Site,-37.647522,145.528753,377 Maroondah Highway,HEALESVILLE,3777,9:00am to 4:00pm Mon-Fri
Eastern Health - Primary Health Alcohol & Drug Service,1002,Fixed Site,-37.820273,145.121399,"Ground Floor, 43 Carrington Rd",BOX HILL,3128,"9am to 7pm Monday & Friday, 9am to 5pm . Tuesday & Thursday, and 9am to 12 noon on Saturdays."
Eastern Health - Turning Point Drug and Alcohol Centre,1222,Fixed Site,-37.805773,144.97587,54-62 Gertrude Street,FITZROY,3065,"9am to 5pm, Monday to Friday; 10am to 2pm, Saturday"
Eastern Health - Yarra Junction,1248,Fixed Site,-37.781561,145.615455,2475 Warburton Highway,YARRA JUNCTION,3797,normal hours of operation and from an outreach service within the Shire of Yarra Ranges at any time.
Echuca Regional Health,1084,Fixed Site,-36.138197,144.748818,"Primary Care, 9-27 Francis Street",ECHUCA,3564,"8.30am to 5pm, Monday to Friday"
Eden Rise Pharmacy,1745,Pharmacy,-38.062614,145.339123,"Shop 30, Eden Rise Shopping Centre, Cnr Clyde & O'Shea Roads",BERWICK,3806,"Mon-Fri 9am - 9pm; Sat 9am - 6pm; Pub Hols 10am - 4pm; CLOSED New Years Day, Good Friday, Easter Sun, Xmas Day"
Edenhope Pharmacy,1577,Pharmacy,-37.036439,141.295899,69 Elizabeth Street,EDENHOPE,3318,M-F 9am-5:30pm
Edithvale Pharmacy,1474,Pharmacy,-38.036791,145.107312,240a Nepean Highway,EDITHVALE,3196,M-F 9am-7pm; Sat 9am-5pm; Sun 10am-5pm; Public Hols 10am-1pm
Elmwood Pharmacy,1674,Pharmacy,-36.135995,146.885588,291 Beechworth Road,WODONGA,3690,M-F 8:30-5:30 ; Sat 8:30-12:00
Eltham Chemmart Pharmacy,1492,Pharmacy,-37.712714,145.15044,"Shop 4, 6-20 Luck Street",ELTHAM,3095,M-F 9am-9pm; Sat-Sun 9am-5pm; Closed public holidays
Emerald Village Pharmacy,1424,Pharmacy,-37.932899,145.440486,8 Kilvington Drive,EMERALD,3782,M-F 8.30am-6.30pm; Sat 8.30am-2pm; Sun 9.30am-12.30pm
Fairfield Pharmacy,1497,Pharmacy,-37.778059,145.018054,88e Station Street,FAIRFIELD,3078,M-F 9am-7pm; Sat 9am-2pm; Sun/Public Hols 10am-1pm
Federation University Australia,1223,Fixed Site,-37.624689,143.884335,"Student Health Centre, Ground Floor - Building T North, Chancellor Drive",MOUNT HELEN,3350,"9am to 5pm, Monday to Friday"
Findlay & Weymouth Pharmacy - Sale,1589,Pharmacy,-38.107537,147.06532,275 Raymond Street,SALE,3850,M-F 8:30am-6pm; Sat 9am-1pm
Foot Street Pharmacy,1707,Pharmacy,-38.157595,145.130984,43c Foot Street,FRANKSTON,3199,Mon - Fri: 9:00am - 5:30pm; Sat : 9:00am - 12:30pm
Footscray Central Pharmacy,1596,Pharmacy,-37.798949,144.90093,"Shop 3, 30 Leeds Street",FOOTSCRAY,3011,M-F 9am-5pm; Sat 9am-2pm
Footscray Pharmacy - MPS,1657,Pharmacy,-37.799363,144.899649,"Shop 2, 76 Nicholson Street",FOOTSCRAY,3011,10am - 5pm
Fordgate Pharmacy,1600,Pharmacy,-37.666847,144.948112,343 Barry Road,CAMPBELLFIELD,3061,M-F 9am-6:30pm; Sat 9am-1pm
Fountain Gate Pharmacy,1708,Pharmacy,-38.02152,145.306021,"Shop 1160, Level 1, Westfield Fountain Gate, 352 Princes Highway",NARRE WARREN,3805,Mon-Wed: 9:00am - 5:30pm; Thur-Fri: 9:00am - 7:00pm; Sat: 9:30am - 5:00pm; Sun: 10:00am - 3:00pm
Friends Pharmacy,1415,Pharmacy,-37.863092,145.078379,231-233 High Street,ASHBURTON,3147,M-F 9am-6pm; Sat 9am-3pm
Frosts Pharmacy - Eltham,1412,Pharmacy,-37.714647,145.149443,"Shop 10, Eltham Village Shopping Centre, 906 Main Road",ELTHAM,3095,M-F 9am-7pm; Sat 9am-5pm; Sun 10am-1pm
Frosts Pharmacy - Rosanna,1413,Pharmacy,-37.743245,145.065029,108 Lower Plenty Road,ROSANNA,3084,M-F 9am-9pm; Sat 9am-6pm; Sun 9am-1pm
Garfield Pharmacy,1507,Pharmacy,-38.091759,145.674773,87 Main Street,GARFIELD,3814,M-F 9am-5.30pm; Sat 9am-1pm
Gateway Health - Bright,1181,Fixed Site,-36.732993,146.966368,"Alpine CHC, Cobden Street",BRIGHT,3741,9.00 am to 5.00 pm Monday to Friday
Gateway Health - Myrtleford,1180,Fixed Site,-36.559556,146.723651,32 Smith Street,MYRTLEFORD,3737,"9am to 5pm, Monday to Friday"
Gateway Health - Wangaratta,1178,Fixed Site,-36.352872,146.31991,"1st Floor, 45-47 MacKay Street",WANGARATTA,3677,"9am to 5pm, Monday to Friday"
Gateway Health - Wodonga,1224,Fixed Site,-36.123676,146.88787,155 High Street,WODONGA,3690,During normal hours of operation
Gippsland Lakes CH - Bairnsdale,1268,Fixed Site,-37.827911,147.62403,281-283 Main Street,BAIRNSDALE,3875,"9.00 am and 4.00 pm, Monday to Friday"
Gippsland Lakes CH - Lakes Entrance,1128,Fixed Site,-37.874325,147.998209,18-26 Jemmeson Street,LAKES ENTRANCE,3909,"8am to 8pm, 7 days a week"
Gippsland Lakes CH - Nowa Nowa,1170,Fixed Site,-37.732258,148.09511,6 Bridge Street,NOWA NOWA,3887,"9am to 5pm, Monday to Friday"
Gippsland Southern Health Service - Korumburra,1093,Fixed Site,-38.430385,145.82944,69-75 Bridge Road,KORUMBURRA,3950,"8.30am to 5pm, Monday to Friday"
Gippsland Southern Health Service - Leongatha,1202,Fixed Site,-38.47044,145.940355,Koonwarra Road,LEONGATHA,3953,"8.30am to 5pm, Monday to Friday"
Glen Waverley Pharmacy,1396,Pharmacy,-37.880749,145.165153,191 Coleman Road,GLEN WAVERLEY,3150,M-F 9am-9pm; Sat 9am-5pm; Sun & P.Hol 9am-3pm
Glenroy Pharmacy,1458,Pharmacy,-37.7049,144.915558,785 Pascoe Vale Road,GLENROY,3046,M-F 8.30am-7pm; Sat 9am-5pm; Sun & Public Hols 10am-4pm
Goolum Goolum Aboriginal Co-operative,1095,Fixed Site,-36.718034,142.202891,43 Hamilton Street,HORSHAM,3400,"9am to 5pm, Monday to Thursday; 9am to 4pm, Friday"
Graeme Wurm Pharmacy,1097,Pharmacy,-37.767657,144.775534,104 Station Road,DEER PARK,3023,M-Sun 9am-9pm (365 days)
Grampians CHC - Palm Lodge,1182,Fixed Site,-36.708372,142.198283,25 David Street,HORSHAM,3400,"At the Centre between the hours of 9am and 5pm, Monday to Friday"
Grampians CHC - Stawell,1099,Fixed Site,-37.056258,142.783811,8-22 Patrick Street,STAWELL,3380,Normal operating hours - at the Centre; Outreach service - Ararat Rural City Council & Northern Grampians Shire 24/7
Grant Picones Pharmacy,1392,Pharmacy,-38.240748,142.916937,68-70 High Street,TERANG,3264,M-F 9am-5.30pm; Sat 9am-12noon; Sun 10am-12noon
Greenbrook Pharmacy,1409,Pharmacy,-37.646124,145.04046,"Shop 6-7, Greenbrook Shopping Centre, McDonalds Road",EPPING,3076,M-Sun 9am-9pm
Greenvale Village Pharmacy,1373,Pharmacy,-37.64012,144.881071,"Shop G11, Greenvale Village Shopping Centre, Cnr Mickleham Road & Greenvale Drive",GREENVALE,3059,M-F 9am - 6pm; Sat/Sun 9am - 5pm
Grove Plaza Pharmacy,1639,Pharmacy,-38.19417,144.343239,146 Torquay Road,GROVEDALE,3216,M - F 8.30am - 6.00pm
Guardian Pharmacy - Geoff & Sue Szwarcbard (Elsternwick),1417,Pharmacy,-37.884683,145.004866,393 Glenhuntly Road,ELSTERNWICK,3185,M-F 9am-6pm; Sat 9am-2pm; Sun 10am-12pm
Guardian Pharmacy - Lakes Entrance,1582,Pharmacy,-37.879486,147.987079,"Shops 6-7, 371 The Esplanade",LAKES ENTRANCE,3909,M-F 9am-5:30pm; Sat 9am-1pm
Guardian Pharmacy - Traralgon,1595,Pharmacy,-38.196744,146.537649,65 Franklin Street,TRARALGON,3844,M-F 8:30am-7pm; Sat 8:30am-3pm; Sun 10am-1pm
Gunn & McConville Pharmacy,1402,Pharmacy,-37.787189,145.086605,398 Balwyn Road,BALWYN NORTH,3104,M-F 8am-6.30pm; Sat 8am-2pm
Guys Pharmacy,1468,Pharmacy,-37.88622,145.015263,618 Glenhuntly Road,CAULFIELD SOUTH,3162,M-F 9am-6pm; Sat 9am-1pm; Sun Closed
Haintz Pharmacy,1520,Pharmacy,-37.56085,143.851161,616 Sturt Street,BALLARAT,3350,M-F 9am-5pm; Sat 9am-1pm
Hakman Pharmacy,1351,Pharmacy,-37.863271,145.010184,354 Orrong Road,CAULFIELD NORTH,3161,Monday - Friday 9.00-6.00; Saturday 9.00-3.00; Sunday 10.00-2.00
Harp Village Pharmacy,1357,Pharmacy,-37.798294,145.051659,637 High Street,KEW EAST,3102,Monday - Friday 9.00-6.00; Saturday 9.00-1.00
Hawkes Pharmacy,1436,Pharmacy,-37.893701,145.308416,"Shop 10, Ferntree Gully Plaza, 1200 Burwood Highway",UPPER FERNTREE GULLY,3156,M-W 9am-6pm; Th-F 9am-7.30pm; Sat 9am-5pm; Sun 10am-4pm
Hawthorn East Pharmacy,1737,Pharmacy,-37.829737,145.043881,275 Auburn Road,HAWTHORN,3122,Mon - Fri 9am - 6pm; Sat 9am - 2pm; Sun 10am - 1pm
HealthSmart Pharmacy VCCC,1770,Pharmacy,-37.799773,144.956478,311 Grattan Street,MELBOURNE,3000,24 hours
Healthwise Pharmacy - Eaglehawk,1360,Pharmacy,-36.719244,144.253529,89 Victoria Street,EAGLEHAWK,3556,Monday - Friday 9.00am - 6.00pm; Saturday 9.00am - 1.00pm
Healthwise Pharmacy - Golden Square,1662,Pharmacy,-36.771117,144.261892,305 High Street,GOLDEN SQUARE,3555,9am to 5.30pm Mon - Fri; 9am - 12noon Sat; Closed Sun
Healthwise Pharmacy - Grogans (Corio),1399,Pharmacy,-38.074434,144.359576,"Shop G061, Corio Shopping Centre",CORIO,3214,M-F 9am-9pm; Sat/Sun 9am-7pm
Healthwise Pharmacy - Monaghans (Warrnambool),1364,Pharmacy,-38.380104,142.480464,140 Fairy Street,WARRNAMBOOL,3280,M - S 8.30am - 9.00pm; Sun 9.00am - 9.00pm
Healthwise Pharmacy - RP Hynes (Colac),1352,Pharmacy,-38.340451,143.584706,56 Corangamite Street,COLAC,3250,Monday - Friday 9.00-5.00
Healthworks Pharmacy,1495,Pharmacy,-36.803538,144.241629,226 High Street,KANGAROO FLAT,3555,M-F 8.30am-6pm; Sat/Sun Closed
Heathcote Health,1540,Fixed Site,-36.925604,144.709705,39 Hospital Street,HEATHCOTE,3523,"24 hours a day, 7 days"
Heathcote Pharmacy,1420,Pharmacy,-36.926156,144.710998,79 High Street,HEATHCOTE,3523,Normal opening hours
Heatherhill Road Pharmacy,1389,Pharmacy,-38.159311,145.141013,48 Heatherhill Road,FRANKSTON,3199,M-F 8.30am-6pm; Sat 8.30am-1pm
Heidelberg West Pharmacy,1466,Pharmacy,-37.736448,145.048491,555 Waterdale Road,HEIDELBERG WEST,3081,M-W 9am-6pm; Th-F 9am-8pm; Sat 9am-5pm; Closed Sunday
Hepburn Health Service,1109,Fixed Site,-37.337383,144.146612,13 Hospital Street,DAYLESFORD,3460,M-F 8:30am-5pm
Herne Hill Pharmacy,1515,Pharmacy,-38.130033,144.331759,1A Minerva Road,HERNE HILL,3218,M-F 9am-5.30pm; Sat 9am-12pm
Highton Amcal Pharmacy,1762,Pharmacy,-38.172481,144.323951,10 Bellevue Avenue,HIGHTON,3216,Mon - Fri 8:30am - 6:30pm; Sat 8:30am - 4pm; Sun 9am - 1pm
Highway Pharmacy,1397,Pharmacy,-37.934018,145.157091,"Shop 5, 825 Princes Highway",SPRINGVALE,3171,M-F 9am-7pm; Sat 9am-5pm
Hoppers Crossing Pharmacy,1655,Pharmacy,-37.881717,144.701592,"Shop 3, Hoppers Crossing Shopping Centre, 24-48 Old Geelong Road",HOPPERS CROSSING,3029,9am - 9pm 7 Days a Week
Huntingdale Pharmacy,1391,Pharmacy,-37.910203,145.103954,294 Huntingdale Road,HUNTINGDALE,3166,M-F 8.30am-6pm; Sat 9am-1pm
IMES Pharmacy,1393,Pharmacy,-37.833221,144.960401,284 Clarendon Street,SOUTH MELBOURNE,3205,M-F 9am-6pm; Sat 9am-1pm
Inglewood & District Health Service - Inglewood,1110,Fixed Site,-36.572199,143.873649,3 Hospital Street,INGLEWOOD,3517,"24 hours, 7 days a week"
Inglewood & District Health Service - Wedderburn,1323,Fixed Site,-36.419199,143.62009,1-3 Hospital Street,WEDDERBURN,3518,During normal hours of operation
Inglewood Pharmacy,1661,Pharmacy,-36.57564,143.867952,54 Brooke Street,INGLEWOOD,3517,Monday to Friday 9am to 5.30pm; Saturday 9am to 1pm
Inner East Community Health Service - Boroondara CHS,1491,Fixed Site,-37.822967,145.036818,378 Burwood Road,HAWTHORN,3122,M-F 8.30am-6pm; Sat 9.30am-3pm
Inspiro Health - Belgrave,1190,Fixed Site,-37.909292,145.351837,1616-1624 Burwood Highway,BELGRAVE,3160,"8.30am to 5pm, Monday to Friday"
Inspiro Health - Lilydale,1191,Fixed Site,-37.757004,145.351037,17 Clarke Street,LILYDALE,3140,"8.30am to 5pm, Monday to Friday"
Inverloch Pharmacy,1720,Pharmacy,-38.633524,145.728249,1/12 A'Beckett Street,INVERLOCH,3996,Mon - Fri 8:30am - 6pm; Sat 9am - 2pm; Sun 9am - 1pm
IPC Health Ltd - Altona Meadows,1118,Fixed Site,-37.873123,144.783577,330-340 Queen Street,ALTONA MEADOWS,3028,"M, W, Th, F 8:30am-7pm; Tu 8.30am to 5pm"
IPC Health Ltd - Deer Park,1725,Secure Dispensing Unit,-37.766598,144.77602,"The Clinic, 106 Station Road",DEER PARK,3023,Mon - 8:30am - 8:30pm; Tues-Wed 8:30am - 5:30pm;Thur 8:30am - 8pm;Fri 8:30am - 5pm; Sat 8:30am - 12; Sun CLOSED
IPC Health Ltd - St Albans,1117,Fixed Site,-37.748131,144.799363,1 Andrea Street,ST ALBANS,3021,"9am to 5.30pm, Monday to Friday"
Irymple Discount Drug Store,1750,Pharmacy,-34.232648,142.168078,"Shops 2 & 3, 2109-2111 Fifteenth Street",IRYMPLE,3498,Mon-Fri 9am - 5:30pm; Sat 9am - 12:30pm
J Kardis & J Walia Pharmacy,1572,Pharmacy,-38.314235,146.420257,"Shop 7, West Place Shopping Centre, West Place",CHURCHILL,3842,M-F 8.30am-6pm; Sat 9am-2pm
James Dean Pharmacy - Gray Street,1548,Pharmacy,-37.74301,142.025039,170 Gray Street,HAMILTON,3300,9am-9pm 365days (public holidays varies - call to check)
