OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Service Centre - Centrelink/Medicare,Morley,,38 Rudloc Road,Morley,WA,6062,-31.90007,115.89983,,,,,
Service Centre - Centrelink/Medicare,Mornington,,332 Main Street,Mornington,VIC,3931,-38.2261,145.04346,,,,,
Service Centre - Centrelink/Medicare,Morwell,,Corner Chapel and Elgin Street,Morwell,VIC,3840,-38.23986,146.39936,,,,,
Service Centre - Centrelink,Mossman,,23 Front Street,Mossman,QLD,4873,-16.46058,145.37318,,,,,
Service Centre - Centrelink,Mt Barker,,30 Stephen Street,Mt Barker,SA,5251,-35.06668,138.85888,,,,,
Service Centre - Centrelink/Medicare,Mt Druitt,,3 Mount Street,Mt Druitt,NSW,2770,-33.76883,150.82322,,,,,
Service Centre - Centrelink/Medicare,Mt Gambier,,5 Percy Street,Mt Gambier,SA,5290,-37.8284,140.78276,,,,,
Service Centre - Centrelink/Medicare,Mt Isa,,30-32 West Street,Mt Isa,QLD,4825,-20.72491,139.49098,,,,,
Service Centre - Centrelink/Medicare,Mudgee,,Lot 72 Byron Place,Mudgee,NSW,2850,-32.59183,149.5868,,,,,
Service Centre - Centrelink,Murray Bridge,,8-12 Bridge Street,Murray Bridge,SA,5253,-35.11813,139.27723,,,,,
Service Centre - Centrelink,Murwillumbah,,107-113 Wollumbin Street,Murwillumbah,NSW,2484,-28.32707,153.39428,,,,,
Service Centre - Centrelink/Medicare,Muswellbrook,,164-166 Bridge Street,Muswellbrook,NSW,2333,-32.26028,150.88902,,,,,
Service Centre - Centrelink/Medicare,Nambour,,Corner Currie and Maud Street,Nambour,QLD,4560,-26.628406,152.959571,,,,,
Service Centre - Centrelink/Medicare,Nambucca Heads,,13 Bowra Street,Nambucca Heads,NSW,2448,-30.64258,153.00279,,,,,
Service Centre - Centrelink/Medicare,Narooma,,"Shop 34 & 35, Narooma Plaza, 185 Princes Highway",Narooma,NSW,2546,-36.22382,150.12716,,,,,
Service Centre - Centrelink/Medicare,Narrabri,,9 Doyle Street,Narrabri,NSW,2390,-30.32415,149.7836,,,,,
Service Centre - Centrelink/Medicare,Fountain Gate,,71-73 Webb Street,Narre Warren,VIC,3805,-38.02255,145.30631,,,,,
Service Centre - Centrelink,Nelson Bay,,18-20 Yacaaba Street,Nelson Bay,NSW,2315,-32.72315,152.14451,,,,,
Service Centre - Centrelink/Medicare,Nerang,,37-39 Cotton Street,Nerang,QLD,4211,-27.99081,153.33414,,,,,
Service Centre - Centrelink/Medicare,Newcastle,,275-279 King Street,Newcastle West,NSW,2300,-32.92869,151.76895,,,,,
Remote Service Centre,Newman,,"Unit 18, 26 Rogers Place",Newman,WA,6753,-23.35541,119.73164,,,,,
Service Centre - Centrelink,Nhulunbuy,,6 Chesterfield Court,Nhulunbuy,NT,880,-12.185323,136.78645,,,,,
Service Centre - Centrelink/Medicare,Noarlunga,,9 Alexander Kelly Drive,Noarlunga,SA,5168,-35.13848,138.4988,,,,,
Service Centre - Centrelink,Noosa,,28 Eenie Creek Road,Noosaville,QLD,4566,-26.41441,153.04841,,,,,
Service Centre - Centrelink,Normanton,,35 Old Croydon Road,Normanton,QLD,4890,-17.683647,141.076307,,,,,
Service Centre - Centrelink,Northam,,89 Fitzgerald Street,Northam,WA,6401,-31.651326,116.67371,,,,,
Service Centre - Centrelink,Norwood,,49 Edward Street,Norwood,SA,5067,-34.92073,138.63423,,,,,
Service Centre - Centrelink/Medicare,Nowra,,4 Lawrence Avenue,Nowra,NSW,2541,-34.8773,150.60125,,,,,
Service Centre - Centrelink/Medicare,Nundah,,1283-1285 Sandgate Road,Nundah,QLD,4012,-27.40143,153.05974,,,,,
Service Centre - Centrelink/Medicare,Marion,,8 Warracowie Way,Oaklands Park,SA,5046,-35.01371,138.54266,,,,,
Service Centre - Centrelink/Medicare,Oakleigh,,88 Atherton Road,Oakleigh,VIC,3166,-37.8996,145.09429,,,,,
Service Centre - Centrelink/Medicare,Orange,,189-191 Anson Street,Orange,NSW,2800,-33.28454,149.09805,,,,,
Service Centre - Centrelink/Medicare,Pakenham,,25 Treloar Lane,Pakenham,VIC,3810,-38.07841,145.48349,,,,,
Service Centre - Centrelink,Palm Beach,,1085-1087 Gold Coast Highway,Palm Beach,QLD,4221,-28.11973,153.47218,,,,,
Service Centre - Centrelink,Palm Island,,Lot 260 Main Street,Palm Island,QLD,4816,-18.73457,146.57899,,,,,
Service Centre - Centrelink/Medicare,Palmerston,,2 Maluka Street,Palmerston,NT,830,-12.48104,130.98689,,,,,
Remote Service Centre,Papunya,,"MacDonnell Regional Council, Lot 224 Papunya Rd",Papunya Community,NT,872,-23.20471,131.91331,,,,,
Service Centre - Centrelink/Medicare,Parkes,,57-59 Currajong Street,Parkes,NSW,2870,-33.13433,148.17627,,,,,
Service Centre - Centrelink/Medicare,Parramatta,,2-12 Macquarie Street,Parramatta,NSW,2150,-33.81437,151.00061,,,,,
Service Centre - Centrelink/Medicare,Penrith,,598 High Street (Corner Worth Street),Penrith,NSW,2750,-33.75211,150.6908,,,,,
myGov,Perth myGov,,"Shop 15, Wesley Quarter, 770 Hay Street",Perth,WA,6000,-31.953248,115.856347,,,,,
Service Centre - Centrelink/Medicare,Hervey Bay,,6 Hunter St,Pialba,QLD,4655,-25.282883,152.841242,,,,,
Service Centre - Centrelink/Medicare,Port Adelaide,,72 Lipson Street,Port Adelaide,SA,5015,-34.84703,138.50867,,,,,
Service Centre - Centrelink/Medicare,Port Augusta,,21-23 Mackay Street,Port Augusta,SA,5700,-32.489406,137.763423,,,,,
Service Centre - Centrelink/Medicare,Port Lincoln,,8 Edinburgh Street,Port Lincoln,SA,5606,-34.724551,135.8598,,,,,
Service Centre - Centrelink/Medicare,Port Macquarie,,5-7 Short Street,Port Macquarie,NSW,2444,-31.42974,152.90668,,,,,
Service Centre - Centrelink/Medicare,Port Pirie,,53 Gertrude Street,Port Pirie,SA,5540,-33.17637,138.00701,,,,,
Service Centre - Centrelink/Medicare,Portland,,8-10 Gawler Street,Portland,VIC,3305,-38.35023,141.60513,,,,,
Service Centre - Centrelink/Medicare,Windsor,,255 High Street,Prahran,VIC,3181,-37.85228,144.9969,,,,,
Service Centre - Centrelink/Medicare,Darebin,,251 Murray Street,Preston,VIC,3072,-37.7382,145.0023,,,,,
Service Centre - Centrelink,Enfield,,298-302 Main North Road,Prospect,SA,5082,-34.8716,138.60138,,,,,
Service Centre - Centrelink/Medicare,Queanbeyan,,183 Crawford Street,Queanbeyan,NSW,2620,-35.35187,149.23298,,,,,
Service Centre - Centrelink/Medicare,Raymond Terrace,,37-39 Sturgeon Street,Raymond Terrace,NSW,2324,-32.76431,151.7424,,,,,
Service Centre - Centrelink,Redfern,,140 Redfern Street,Redfern,NSW,2016,-33.8924,151.2026,,,,,
Service Centre - Centrelink/Medicare,Ringwood,,2-6 Bond Street,Ringwood,VIC,3134,-37.81396,145.22638,,,,,
Service Centre - Centrelink/Medicare,Seniors & Carers Robina,,"Level 5, Robina Town Centre, 19-33 Robina Town Centre Drive",Robina,QLD,4230,-28.07749,153.38539,,,,,
Service Centre - Centrelink,Rockdale,,75 Railway Street,Rockdale,NSW,2216,-33.9509,151.13674,,,,,
Service Centre - Centrelink/Medicare,Rockhampton,,190-194 Musgrave Street,Rockhampton,QLD,4700,-23.361776,150.523314,,,,,
Service Centre - Centrelink/Medicare,Rockingham,,18 Civic Boulevarde,Rockingham,WA,6168,-32.28626,115.74637,,,,,
Service Centre - Centrelink/Medicare,Rosebud,,3 Jetty Road,Rosebud,VIC,3939,-38.35533,144.90943,,,,,
Service Centre - Centrelink/Medicare,Rosny Park,,2 Gordons Hill Road,Rosny Park,TAS,7018,-42.86619,147.37231,,,,,
Service Centre - Centrelink/Medicare,Rouse Hill,,4-7 Commercial Road,Rouse Hill,NSW,2155,-33.68693,150.9214,,,,,
Service Centre - Centrelink/Medicare,Rowville,,5 Fulham Road,Rowville,VIC,3178,-37.91754,145.23712,,,,,
Service Centre - Centrelink/Medicare,Ryde,,19-27 Devlin Street,Ryde,NSW,2112,-33.81464,151.1034,,,,,
Service Centre - Centrelink/Medicare,Sale,,150-154 York Street,Sale,VIC,3850,-38.1081,147.06899,,,,,
Service Centre - Centrelink,Salisbury,,32-38 Gawler Street,Salisbury,SA,5108,-34.76,138.6432,,,,,
Remote Service Centre,Santa Teresa,,"Lot 321, Santa Teresa Community, Alice Road",Santa Teresa,NT,872,-24.12788,134.37335,,,,,
Service Centre - Centrelink,Seymour,,8 Henry Street,Seymour,VIC,3660,-37.02385,145.137227,,,,,
Service Centre - Centrelink/Medicare,Shellharbour,,"Shop G2 and OA22, Shellharbour Square Shopping Centre, Lake Entrance Road",Shellharbour,NSW,2529,-34.56388,150.83893,,,,,
Service Centre - Centrelink/Medicare,Shepparton,,296-298 Maude Street,Shepparton,VIC,3630,-36.3851,145.39969,,,,,
Service Centre - Centrelink/Medicare,Singleton,,6 William Street,Singleton,NSW,2330,-32.56411,151.16969,,,,,
Service Centre - Centrelink/Medicare,Smithfield (Shopfront),,"Shops 77 / 77a, Smithfield Shopping Centre, Corner Kennedy and Cook Highways",Smithfield,QLD,4878,-16.83731,145.69267,,,,,
Service Centre - Centrelink,Sorell,,"Service Tasmania, Shop 3, 5 Fitzroy Street",Sorell,TAS,7172,-42.78292,147.56325,,,,,
Service Centre - Centrelink,South Hedland,,3 Brand Street,South Hedland,WA,6722,-20.40767,118.59938,,,,,
Service Centre - Centrelink,South Melbourne,,94 York Street,South Melbourne,VIC,3205,-37.83069,144.95906,,,,,
Service Centre - Centrelink/Medicare,Southport,,5-15 Suter Street,Southport,QLD,4215,-27.97013,153.41132,,,,,
Service Centre - Centrelink/Medicare,Springvale,,324-334 Springvale Road,Springvale,VIC,3171,-37.95584,145.15157,,,,,
Service Centre - Centrelink/Medicare,Springwood,,107-109 Macquarie Road,Springwood,NSW,2777,-33.69887,150.56832,,,,,
Service Centre - Centrelink,St Marys,,47 Phillip Street,St Marys,NSW,2760,-33.76351,150.77569,,,,,
Service Centre - Centrelink,Stanthorpe,,10 Corundum Street,Stanthorpe,QLD,4380,-28.65209,151.93541,,,,,
Service Centre - Centrelink,Stawell,,27 Church Street,Stawell,VIC,3380,-37.05481,142.78162,,,,,
Service Centre - Centrelink/Medicare,Stones Corner,,Corner Logan Road and Cornwall Street,Stones Corner,QLD,4120,-27.50329,153.04698,,,,,
Service Centre - Centrelink/Medicare,Strathpine,,242 Gympie Road,Strathpine,QLD,4500,-27.30889,152.98989,,,,,
Service Centre - Centrelink/Medicare,Success,,"Unit 7, 11 Wentworth Parade",Success,WA,6164,-32.130413,115.852949,,,,,
Service Centre - Centrelink,Sunbury,,33-37 Evans Street,Sunbury,VIC,3429,-37.57907,144.72996,,,,,
Service Centre - Centrelink/Medicare,Sunshine,,103 Harvester Road,Sunshine,VIC,3020,-37.77804,144.829768,,,,,
Service Centre - Centrelink/Medicare,Sutherland,,36 Eton Street,Sutherland,NSW,2232,-34.03181,151.05905,,,,,
Service Centre - Centrelink/Medicare,Swan Hill,,221-227 Beveridge Street,Swan Hill,VIC,3585,-35.34161,143.55917,,,,,
Service Centre - Centrelink/Medicare,Tamworth,,219-223 Peel Street,Tamworth,NSW,2340,-31.08799,150.92714,,,,,
Service Centre - Centrelink/Medicare,Taree,,184-188 Victoria Street,Taree,NSW,2430,-31.913555,152.461071,,,,,
Service Centre - Centrelink,Watergardens,,"Ground Floor, 399 Melton Highway",Taylors Lakes,VIC,3038,-37.69821,144.78003,,,,,
Service Centre - Centrelink,Tennant Creek,,77 Paterson Street,Tennant Creek,NT,862,-19.64527,134.1908,,,,,
Service Centre - Centrelink/Medicare,The Entrance,,16-18 Fairview Avenue,The Entrance,NSW,2261,-33.3433,151.49634,,,,,
Service Centre - Centrelink/Medicare,Seniors & Carers Townsville,,Corner Kern Brothers Drive and Hervey Range Road,Thuringowa,QLD,4817,-19.31855,146.72523,,,,,
Service Centre - Centrelink,Thursday Island,,Corner Hastings Street and Victoria Parade,Thursday Island,QLD,4875,-10.58507,142.22047,,,,,
Service Centre - Centrelink/Medicare,Toowong,,17-19 Lissner Street,Toowong,QLD,4066,-27.48419,152.99141,,,,,
Service Centre - Centrelink/Medicare,Toowoomba,,12-20 Bell Street (ground floor),Toowoomba,QLD,4350,-27.56056,151.95647,,,,,
Service Centre - Centrelink/Medicare,Toronto,,2-6 Donnelly Avenue,Toronto,NSW,2283,-33.01121,151.59433,,,,,
Service Centre - Centrelink/Medicare,Torrensville,,132-136 Henley Beach Road,Torrensville,SA,5031,-34.924,138.5652,,,,,
Service Centre - Centrelink/Medicare,Tuggeranong,,"Units 1 and 2, Tuggeranong Square, Corner Anketell and Sheering Streets",Tuggeranong,ACT,2900,-35.42025,149.06995,,,,,
Service Centre - Centrelink,Tumut,,Corner Merivale and Russell Streets,Tumut,NSW,2720,-35.2995,148.2215,,,,,
Service Centre - Centrelink/Medicare,Tuncurry,,116 Manning Street,Tuncurry,NSW,2428,-32.1719,152.4983,,,,,
Service Centre - Centrelink/Medicare,Tweed Heads,,100 Blundell Boulevard,Tweed Heads,NSW,2486,-28.20001,153.54273,,,,,
Service Centre - Centrelink/Medicare,Ulladulla,,270-272 Green Street,Ulladulla,NSW,2539,-35.35716,150.47256,,,,,
Service Centre - Centrelink/Medicare,Upper Mt Gravatt,,57 Sanders Street,Upper Mt Gravatt,QLD,4122,-27.55895,153.08206,,,,,
Service Centre - Centrelink,Victor Harbor,,90 Victoria Street,Victor Harbor,SA,5211,-35.5579,138.6149,,,,,
Service Centre - Centrelink/Medicare,Victoria Park,,117-121 Shepperton Road,Victoria Park,WA,6100,-31.97252,115.89745,,,,,
Remote Service Centre,Wadeye,,62 Perdjert Street,Wadeye,NT,822,-14.23912,129.52141,,,,,
Service Centre - Centrelink/Medicare,Wagga Wagga,,63 Tompson Street,Wagga Wagga,NSW,2650,-35.1118,147.36931,,,,,
Service Centre - Centrelink,Walgett,,Corner Fox and Euroka Street,Walgett,NSW,2832,-30.0235,148.11629,,,,,
Service Centre - Centrelink/Medicare,Wallsend,,70 Robert Street,Wallsend,NSW,2287,-32.90136,151.67182,,,,,
Service Centre - Centrelink/Medicare,Wangaratta,,23-25 Faithful Street,Wangaratta,VIC,3677,-36.35343,146.32727,,,,,
Service Centre - Centrelink/Medicare,Warragul,,42 Queen Street,Warragul,VIC,3820,-38.1634,145.9289,,,,,
Service Centre - Centrelink/Medicare,Warrnambool,,109 Lava Street,Warrnambool,VIC,3280,-38.382,142.4854,,,,,
Service Centre - Centrelink/Medicare,Warwick,,37-39 Albion Street,Warwick,QLD,4370,-28.21337,152.03436,,,,,
Service Centre - Centrelink/Medicare,Warwick Grove,,87 Ellersdale Avenue,Warwick,WA,6024,-31.84228,115.81003,,,,,
Remote Service Centre,Western Cape,,Corner Commercial Avenue and Kerr Point Drive,Weipa,QLD,4874,-12.63904,141.86435,,,,,
Service Centre - Centrelink/Medicare,Werribee,,89-91 Synnot Street,Werribee,VIC,3030,-37.9059,144.65726,,,,,
Service Centre - Centrelink/Medicare,Kempsey,,68-70 Elbow Street,West Kempsey,NSW,2440,-31.081,152.8287,,,,,
Service Centre - Centrelink/Medicare,Whyalla,,169 Nicholson Avenue,Whyalla Norrie,SA,5608,-33.02747,137.53575,,,,,
Service Centre - Centrelink/Medicare,Hawkesbury,,309-311 George Street,Windsor,NSW,2756,-33.609,150.81667,,,,,
Service Centre - Centrelink/Medicare,Woden,,"Building C, Ground Floor, Penrhyn House, 2-6 Bowes Street",Woden,ACT,2606,-35.3483,149.08701,,,,,
Service Centre - Centrelink/Medicare,Wollongong,,"43 Burelli Street, ground and level 1",Wollongong,NSW,2500,-34.42703,150.89806,,,,,
Service Centre - Centrelink,Wonthaggi,,2 Biggs Drive,Wonthaggi,VIC,3995,-38.60437,145.58825,,,,,
Service Centre - Centrelink/Medicare,Woodridge,,21 Station Street,Woodridge,QLD,4114,-27.63841,153.10526,,,,,
Service Centre - Centrelink/Medicare,Woy Woy,,87-89 Blackwall Road,Woy Woy,NSW,2256,-33.48747,151.32514,,,,,
Service Centre - Centrelink/Medicare,Wynnum,,89 Tingal Road,Wynnum,QLD,4178,-27.44666,153.17245,,,,,
Service Centre - Centrelink/Medicare,Wyong,,25-27 Hely Street,Wyong,NSW,2259,-33.28035,151.4253,,,,,
Service Centre - Centrelink,Yamba,,"Shop 39, Yamba Shopping Fair, 1-3 Treelands Drive",Yamba,NSW,2464,-29.42935,153.32708,,,,,
Remote Service Centre,Yarrabah,,"Shop 4, 5 & 6, Yarrabah Community Shopping Centre",Yarrabah,QLD,4871,-16.906255,145.866101,,,,,
Service Centre - Centrelink,Yass,,204 Comur Street,Yass,NSW,2582,-34.84418,148.91333,,,,,
Service Centre - Centrelink,Yeppoon,,20 Arthur Street,Yeppoon,QLD,4703,-23.13044,150.74224,,,,,
Service Centre - Centrelink/Medicare,Young,,130 Lovell Street,Young,NSW,2594,-34.31094,148.29214,,,,,
Remote Service Centre,Yuendumu,,Corner Conniston Road and Park Street,Yuendumu,NT,872,-22.25575,131.79531,,,,,
Agent,Agnes Water,,71 Springs Rd,Agnes Water,QLD,4677,-24.2027,151.898,,,,,
Agent,Alexandra,,38a Downey Street,Alexandra,VIC,3714,-37.191384,145.711574,,,,,
Agent,Ali Curung,Ale-Kerange,"Lot 278, Kinjurra Drive, Ali Curung Cmty Via",Ali Curung,NT,872,-21.005017,134.407152,,,,,
Access Point,Alice Springs Hospital,,6 Gap Road,Alice Springs Hospital,NT,870,-23.705758,133.878064,,,,,
Agent,Alpurrurulam,Lake Nash,Alpurrurulam Community Via,Alpurrurulam,NT,4825,-20.9842,137.8475,,,,,
Agent,Amata,,"Lot 202, Amata Community Via",Amata,NT,872,-26.151499,131.14842,,,,,
Agent,Amoonguna,,"Lot 61, White Gum Drive, Amoonguna Cmty Via",Amoonguna,NT,870,-23.766382,133.936578,,,,,
Agent,Ampilatwatja,,Lot 3 Main Street Ampilawatja Community Via,Ampilatwatja,NT,872,-21.655658,135.225686,,,,,
Access Point,Apmere Mwerre,Apmere Mwerre Visitor Park,15 Len Kittle Drive,Apmere Mwerre,NT,870,-23.743457,133.865959,,,,,
Agent,Apollo Bay,,75 McLachlan St,Apollo Bay,VIC,3233,-38.7538,143.6641,,,,,
Access Point,Aramac,,58 Gordon Street,Aramac,QLD,4726,-22.971552,145.242567,,,,,
Access Point,Ardlethan,,10 Yithan Street,Ardlethan,NSW,2665,-34.356558,146.903229,,,,,
Agent,Areyonga,Utju,"Lot 58, 37 Utju Drive",Areyonga,NT,872,-24.073065,132.269496,,,,,
Agent,Arlparra,Urapuntja,"Lot 20, Urapuntja Office, Arlparra Cmty Via",Arlparra,NT,872,-22.089336,134.775173,,,,,
Agent,Ashford,,30-32 Albury Street,Ashford,NSW,2361,-29.3215,151.0953,,,,,
Agent,Atitjere,Harts Range,121 Mica Road,Atitjere,NT,872,-22.98368,134.935505,,,,,
Access Point,Augathella,,98 Main street,Augathella,QLD,4477,-25.7962,146.5816,,,,,
Access Point,Augusta,,66 Allnutt Terrace,Augusta,WA,6290,-34.3134,115.1563,,,,,
Agent,Aurukun,,508 Kang Kang Rd,Aurukun,QLD,4892,-13.35924,141.728039,,,,,
Access Point,Avoca,,122 High Street,Avoca,VIC,3467,-37.0885,143.4738,,,,,
Agent,Babinda,,51 Munro St,Babinda,QLD,4861,-17.3443,145.9228,,,,,
Agent,Badu Island,,199 Nona Street,Badu Island,QLD,4875,-10.158446,142.165025,,,,,
Agent,Balaklava,,10 Wallace Street,Balaklava,SA,5461,-34.1408,138.436,,,,,
Agent,Balgo,Wirrimanu,Off Tanami Road,Balgo,WA,6770,-20.14251,127.98303,,,,,
Agent,Ballan,,164 Inglis Street,Ballan,VIC,3342,-37.60021,144.228116,,,,,
Agent,Balranald,,95 Court Street,Balranald,NSW,2715,-34.6404,143.563,,,,,
Access Point,Baradine,,13-15 Wellington Street,Baradine,NSW,2396,-30.949496,149.068345,,,,,
Agent,Barcaldine,,65 Ash St,Barcaldine,QLD,4725,-23.5535,145.2903,,,,,
Agent,Bardi,One Arm Point,One Arm Point Road,Bardi,WA,6725,-16.445254,123.060564,,,,,
Access Point,Barellan,,108 Yapunyah Street,Barellan,NSW,2665,-34.2865,146.5701,,,,,
Agent,Barraba,,108 Queen Street,Barraba,NSW,2347,-30.38,150.6077,,,,,
Agent,Barunga,Bamyili,"Lot 198, Barunga Council Office",Barunga,NT,852,-14.52584,132.865016,,,,,
Access Point,Batchelor,,22 Tarkarri Road,Batchelor,NT,845,-13.0464,131.0278,,,,,
Access Point,Batlow,,Pioneer Street,Batlow,NSW,2730,-35.5209,148.1423,,,,,
Access Point,Beachport,,2 Foster Street,Beachport,SA,5280,-37.481585,140.012939,,,,,
Access Point,Beacon,,11 Rowlands Street,Beacon,WA,6472,-30.4487,117.8681,,,,,
Agent,Beaconsfield,,West Street,Beaconsfield,TAS,7270,-41.2011,146.8139,,,,,
Agent,Beagle Bay,,Beagle Bay Community,Beagle Bay,WA,6725,-16.983245,122.66505,,,,,
Agent,Beaufort,,72 Neill Street,Beaufort,VIC,3373,-37.4288,143.3836,,,,,
Access Point,Bedourie,,13 Herbert Street,Bedourie,QLD,4829,-24.360122,139.470842,,,,,
Access Point,Beeac,,65 Main Street,Beeac,VIC,3251,-38.19548,143.639842,,,,,
Access Point,Beechworth,,30 Ford Street,Beechworth,VIC,3747,-36.35,146.683333,,,,,
Agent,Bellingen,,1/29 Hyde Street,Bellingen,NSW,2454,-30.4498,152.8978,,,,,
Agent,Belyuen,Delissaville,Cox Peninsular Road,Belyuen,NT,822,-12.538076,130.699366,,,,,
Access Point,Bermagui,,Cnr Bunga & Young Streets,Bermagui,NSW,2546,-36.4171,150.0643,,,,,
Access Point,Berrigan,,67-69 Chanter Street,Berrigan,NSW,2712,-35.657,145.809,,,,,
Agent,Beswick,Wugularr,30 Balanda Street,Beswick,NT,852,-14.556162,133.115654,,,,,
Access Point,Beulah,,77 Phillips Street,Beulah,VIC,3395,-35.9399,142.4185,,,,,
Access Point,Beverley,,132 Vincent St,Beverley,WA,6304,-32.1079,116.9303,,,,,
Agent,Bidyadanga,,Lot 88 Bidyadanga Road,Bidyadanga,WA,6725,-18.68458,121.779805,,,,,
Agent,Biggenden,,47 Edward Street,Biggenden,QLD,4621,-25.5106,152.0436,,,,,
Agent,Bingara,,24 Maitland Street,Bingara,NSW,2404,-29.867,150.571,,,,,
Access Point,Binjari,Wylunba,Victoria Hwy,Binjari,NT,852,-14.551515,132.182548,,,,,
Access Point,Birdsville,,29 Burt Street,Birdsville,QLD,4482,-25.8985,139.3512,,,,,
Access Point,Birregurra,,65 Main Street,Birregurra,VIC,3242,-38.336238,143.783453,,,,,
Agent,Blackall,,81 shamrock st,Blackall,QLD,4472,-24.4211,145.464,,,,,
Agent,Blackbutt,,69 Hart Street,Blackbutt,QLD,4306,-26.8886,152.0997,,,,,
Agent,Blackwater,,Wey St,Blackwater,QLD,4717,-23.583,148.8782,,,,,
Access Point,Blanchetown,,3 Shaw Street,Blanchetown,SA,5357,-34.3521,139.6124,,,,,
Agent,Boddington,,20 Bannister Road,Boddington,WA,6390,-32.8022,116.4751,,,,,
Agent,Boigu Island,,66 Chambers Street,Boigu Island,QLD,4875,-9.232319,142.220298,,,,,
Access Point,Bombala,,141 Maybe Street,Bombala,NSW,2632,-36.9026,149.2382,,,,,
Access Point,Bonya,Orrtipa Thurra,Plenty River,Bonya,NT,872,-22.804306,136.198985,,,,,
Agent,Boonah,,4 Little High Street,Boonah,QLD,4310,-27.9984,152.6844,,,,,
Access Point,Boorowa,,6-8 Market St,Boorowa,NSW,2586,-34.4362,148.7179,,,,,
Access Point,Boort,,119-121 Godfrey Street,Boort,VIC,3537,-36.11638,143.724162,,,,,
Agent,Bordertown,,63 Farquhar Street,Bordertown,SA,5268,-36.3113,140.7719,,,,,
Agent,Boulia,,19 Herbert Street,Boulia,QLD,4829,-22.911508,139.912201,,,,,
Access Point,Bowraville,,39 High St,Bowraville,NSW,2449,-30.6521,152.8531,,,,,
Access Point,Boyne Island,Tannum Sands,Cnr Wyndham & Hayes Avenue,Boyne Island,QLD,4680,-23.9943,151.3849,,,,,
Access Point,Boyup Brook,,86 Abel Street,Boyup Brook,WA,6244,-33.8316,116.3854,,,,,
Access Point,Braidwood,,154 Wallace Street,Braidwood,NSW,2622,-35.4422,149.79947,,,,,
Access Point,Bremer Bay,,Mary Street,Bremer Bay,WA,6338,-34.3893,119.3748,,,,,
Agent,Brewarrina,,57 Bathurst Street,Brewarrina,NSW,2839,-29.9584,146.87,,,,,
Agent,Bridgetown,,150 Hampton Street,Bridgetown,WA,6255,-33.9567,116.1375,,,,,
