OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Access Point,Brookton,Southern Avon,89 Robinson Road,Brookton,WA,6306,-32.366966,117.009982,,,,,
Agent,Bulahdelah,,63 Stroud Street,Bulahdelah,NSW,2423,-32.4092,152.205,,,,,
Access Point,Bulla,,Victoria Highway,Bulla,NT,852,-15.768853,130.039341,,,,,
Agent,Bulman,Gulin Gulin,Gulin Gulin Council Office,Bulman,NT,852,-13.665161,134.335156,,,,,
Access Point,Bundarra,,30-32 Bendemeer St,Bundarra,NSW,2359,-30.1758,151.0688,,,,,
Agent,Burketown,,5 Bowen Street,Burketown,QLD,4830,-17.736642,139.544569,,,,,
Agent,Camooweal,,45 Barkly Highway,Camooweal,QLD,4828,-19.921526,138.118058,,,,,
Access Point,Campbell Town,,75 High Street,Campbell Town,TAS,7210,-41.929,147.4941,,,,,
Agent,Camperdown,,2a Pike Street,Camperdown,VIC,3260,-38.23203,143.14758,,,,,
Agent,Cann River,,13 Princes Highway,Cann River,VIC,3890,-37.565763,149.150525,,,,,
Agent,Canteen Creek,Owairtilla,"Owairtilla Council Office, Canteen Creek",Canteen Creek,NT,872,-20.6446,135.5859,,,,,
Access Point,Cape Barren,,1 Esplanade,Cape Barren,TAS,7257,-40.370821,148.027082,,,,,
Access Point,Cardwell,,4 Balliol Street,Cardwell,QLD,4849,-18.267243,146.029526,,,,,
Agent,Caroona,Walhallow,Walhollow Village Via,Caroona,NSW,2343,-31.4045,150.4231,,,,,
Agent,Casterton,,79 Henty Street,Casterton,VIC,3311,-37.586719,141.403143,,,,,
Agent,Castlemaine,,30 Templeton Street,Castlemaine,VIC,3450,-37.0638,144.2183,,,,,
Agent,Charlton,,11 High Street,Charlton,VIC,3525,-36.2681,143.3494,,,,,
Agent,Childers,,Walhollow Village,Childers,QLD,4660,-25.236171,152.277459,,,,,
Access Point,Chillagoe,,19-25 Queen Street,Chillagoe,QLD,4871,-17.1485,144.5178,,,,,
Agent,Chinchilla,,67-71 Middle Street,Chinchilla,QLD,4413,-26.7396,150.6266,,,,,
Agent,Christmas Island,,Murray Road,Christmas Island,WA,6798,-10.424409,105.680257,,,,,
Agent,Clare,,"Shop 7, 25 Old North Road",Clare,SA,5453,-33.833971,138.613623,,,,,
Access Point,Clarence Town,,116 Prince Street,Clarence Town,NSW,2321,-32.5817,151.7845,,,,,
Agent,Clermont,Clermont Community Housing,2 Limes St,Clermont,QLD,4721,-22.8233,147.6403,,,,,
Access Point,Cleve,,10 Main Street,Cleve,SA,5640,-33.703,136.4933,,,,,
Agent,Cloncurry,,12a Ramsay Street,Cloncurry,QLD,4824,-20.701732,140.511791,,,,,
Agent,Cobar,,19 Barton Street,Cobar,NSW,2835,-31.5001,145.8395,,,,,
Agent,Cobram,,43-45 Punt Road,Cobram,VIC,3644,-35.919,145.6536,,,,,
Agent,Cocos Islands,Cocos (keeling) Islands,Jalan Bunga Mawar,Cocos Islands,WA,6799,-12.1164,96.89717,,,,,
Agent,Coen,,29 Taylor Street,Coen,QLD,4892,-13.944594,143.198089,,,,,
Agent,Collarenebri,,2 Wilson Street,Collarenebri,NSW,2833,-29.54097,148.579697,,,,,
Agent,Collie,,154-158 Forrest St,Collie,WA,6225,-33.357098,116.148508,,,,,
Agent,Collinsville,,81 Garrick St,Collinsville,QLD,4804,-20.5536,147.8433,,,,,
Access Point,Comboyne,,36 Main St,Comboyne,NSW,2429,-31.6015,152.465,,,,,
Agent,Condobolin,,18 William Street,Condobolin,NSW,2877,-33.0894,147.1469,,,,,
Agent,Cooktown,,92 Charlotte Street,Cooktown,QLD,4895,-15.476499,145.236155,,,,,
Agent,Coonabarabran,,30 John Street,Coonabarabran,NSW,2357,-31.2724,149.2761,,,,,
Agent,Coonamble,,2 Namoi Street,Coonamble,NSW,2829,-30.949663,148.384837,,,,,
Access Point,Cooranbong,,"Shop 6, 559 Freemans Drive",Cooranbong,NSW,2265,-33.074,151.451,,,,,
Access Point,Coorow,,Cnr Main & Bristol Streets,Coorow,WA,6515,-29.8812,116.0242,,,,,
Agent,Cootamundra,,169a Parker Street,Cootamundra,NSW,2590,-34.6418,148.0243,,,,,
Access Point,Coraki,,121 Richmond Terrace,Coraki,NSW,2471,-28.992,153.2813,,,,,
Agent,Corowa,,109-111 Sanger Street,Corowa,NSW,2646,-35.997969,146.391257,,,,,
Access Point,Corrigin,,4 Campbell Street,Corrigin,WA,6375,-32.329,117.874,,,,,
Agent,Corryong,,39 Hanson Street,Corryong,VIC,3707,-36.1953,147.9058,,,,,
Agent,Cosmo Newberry,,13a Yilka Drive/Great Central Road,Cosmo Newberry,WA,6440,-27.994301,122.89593,,,,,
Agent,Cowes,,56 Church Street,Cowes,VIC,3922,-38.45197,145.2389,,,,,
Agent,Crookwell,,48 Denison Street,Crookwell,NSW,2583,-34.4565,149.4668,,,,,
Agent,Crows Nest,,16 Charlotte Street,Crows Nest,QLD,4355,-27.260751,152.056285,,,,,
Agent,Cue,,72 Austin st,Cue,WA,6640,-27.4201,117.895,,,,,
Agent,Culcairn,,40 Balfour Street,Culcairn,NSW,2660,-35.6682,147.0346,,,,,
Access Point,Cummeragunja,Cummeragunja,Cummerangunja,Cummeragunja,VIC,3639,-36.018041,144.958728,,,,,
Access Point,Cunderdin,,57 Main Street,Cunderdin,WA,6407,-31.6504,117.2398,,,,,
Agent,Cunnamulla,,36 Stockyard Street,Cunnamulla,QLD,4490,-28.071096,145.685122,,,,,
Access Point,Currie,,15 George St,Currie,TAS,7256,-39.929,143.8538,,,,,
Agent,Dajarra,,Matherson Street,Dajarra,QLD,4825,-21.694542,139.513725,,,,,
Access Point,Dalwallinu,,53 Johnston St,Dalwallinu,WA,6609,-30.2771,116.6528,,,,,
Agent,Dareton,,51 Sturt Place,Dareton,NSW,2717,-34.0947,142.0446,,,,,
Access Point,Dartmoor,,84 Greenham Street,Dartmoor,VIC,3304,-37.923,141.2753,,,,,
Agent,Dauan Island,Dauan Island,Lot 29 Main Street,Dauan Island,QLD,4875,-9.413518,142.538192,,,,,
Agent,Daylesford,,13 Hospital Street,Daylesford,VIC,3460,-37.3372,144.1438,,,,,
Access Point,Delegate,,66 Bombala Street,Delegate,NSW,2633,-37.0432,148.9507,,,,,
Agent,Deloraine,,8 Emu Bay Road,Deloraine,TAS,7304,-41.5248,146.6569,,,,,
Agent,Denham,Shark Bay,10 Denham Road,Denham,WA,6537,-25.9286,113.5358,,,,,
Agent,Denmark,,2 Strickland Street,Denmark,WA,6333,-34.959221,117.354442,,,,,
Access Point,Derrinallum,,28 Main Street,Derrinallum,VIC,3325,-37.9474,143.2241,,,,,
Access Point,Dimbulah,,10 Raleigh Street,Dimbulah,QLD,4872,-17.1476,145.113,,,,,
Agent,Dirranbandi,Dirranbandi Rural Transation Centre,35-37 Railway Street,Dirranbandi,QLD,4486,-28.5852,148.2252,,,,,
Agent,Djarindjin,,"Djarindjin Aboriginal Corporation, Lot 1 Angus Street, Djarindjin Community",Djarindjin,WA,6725,-16.515389,122.893499,,,,,
Agent,Donald,,31 Woods Street,Donald,VIC,3480,-36.3701,142.9817,,,,,
Agent,Dongara,Port Denison,11 Moreton Terrace,Dongara,WA,6525,-29.251,114.931,,,,,
Access Point,Donnybrook,,Old Station Masters House 60 South Western Hw,Donnybrook,WA,6239,-33.5715,115.8231,,,,,
Agent,Doomadgee,,2 Potter Street,Doomadgee,QLD,4830,-17.940011,138.825127,,,,,
Agent,Dorrigo,,"Multi-Purpose Service, Beech Street",Dorrigo,NSW,2453,-30.3409,152.7114,,,,,
Agent,Dover,,69889 Huon Highway,Dover,TAS,7117,-43.3138,147.0161,,,,,
Access Point,Dowerin,,13 Stewart Street,Dowerin,WA,6461,-31.1932,117.0314,,,,,
Access Point,Drake,,Lot 9 Bruxner Highway,Drake,NSW,2469,-28.9281,152.3752,,,,,
Access Point,Dunedoo,,68 Bolaro Street,Dunedoo,NSW,2844,-32.016528,149.395465,,,,,
Agent,Dungog,,103 Dowling Street,Dungog,NSW,2420,-32.4049,151.7529,,,,,
Access Point,Dunjiba,Oodnadatta,Ikartuka Terrace,Dunjiba,SA,5734,-27.547519,135.448039,,,,,
Agent,Dunolly,,109 Broadway Street,Dunolly,VIC,3472,-36.8586,143.7305,,,,,
Agent,Eden,,Cnr Mitchell & Mlay St,Eden,NSW,2551,-37.0622,149.9051,,,,,
Agent,Edenhope,,49 Elizabeth Street,Edenhope,VIC,3318,-37.03636,141.289887,,,,,
Agent,Eidsvold,,57 Moreton Street,Eidsvold,QLD,4627,-25.37348,151.127519,,,,,
Agent,Elliott,Gurungu,9 Lewis St,Elliott,NT,862,-17.553717,133.542637,,,,,
Access Point,Elliston,,6 Memorial Drive,Elliston,SA,5670,-33.647554,134.891143,,,,,
Agent,Engawala,Alcoota Station,"Lot 2, 12 Turner Street",Engawala,NT,872,-22.803026,134.453779,,,,,
Agent,Enngonia,,9 Irrara Street,Enngonia,NSW,2840,-29.318602,145.848349,,,,,
Agent,Erub Island,Darnley Island,Medigee Village,Erub Island,QLD,4875,-9.581367,143.782126,,,,,
Agent,Esk,,Ipswich Street,Esk,QLD,4312,-27.23929,152.4211,,,,,
Access Point,Eudunda,,8 Bruce Street,Eudunda,SA,5374,-34.171795,139.084954,,,,,
Access Point,Eugowra,,45 Broad Street,Eugowra,NSW,2806,-33.4277,148.372,,,,,
Agent,Euroa,,36 Kennedy Street,Euroa,VIC,3666,-36.7507,145.5699,,,,,
Agent,Evans Head,,6 Oak Street,Evans Head,NSW,2473,-29.1178,153.4317,,,,,
Agent,Exmouth,,31 Maley St,Exmouth,WA,6707,-21.929,114.1236,,,,,
Agent,Finke,Aputula,"Lot 32&69,6 Erringke St,Aputula Community",Finke,NT,872,-25.581222,134.577279,,,,,
Agent,Forbes,,134 Lachlan Street,Forbes,NSW,2871,-33.38578,148.007032,,,,,
Agent,Foster,,Cnr Station Road & Court Street,Foster,VIC,3960,-38.6535,146.202,,,,,
Access Point,Frankland,,55 Wingebellup Rd,Frankland,WA,6396,-34.3635,117.0773,,,,,
Access Point,Frog Hollow,Wurreranginy,Via Great Northern Highway,Frog Hollow,WA,6743,-17.2752,128.051,,,,,
Access Point,Ganmain,,90 Ford Street,Ganmain,NSW,2702,-34.7943,147.0412,,,,,
Agent,Gapuwiyak,Lake Evella,Lot 94 Barnbinamirri Street,Gapuwiyak,NT,880,-12.506051,135.808868,,,,,
Access Point,Gascoyne Junction,,5 Scott Street,Gascoyne Junction,WA,6705,-25.054365,115.20901,,,,,
Agent,Gatton,,7 William Street,Gatton,QLD,4343,-27.556429,152.278779,,,,,
Agent,Gayndah,,36 Capper Street,Gayndah,QLD,4625,-25.6236,151.6081,,,,,
Agent,George Town,,12 Elizabeth Street,George Town,TAS,7253,-41.10296,146.82352,,,,,
Access Point,Georgetown,,20 Low Street,Georgetown,QLD,4871,-18.2927,143.5497,,,,,
Agent,Gilgandra,,20 Miller Street,Gilgandra,NSW,2827,-31.7109,148.6686,,,,,
Agent,Gin Gin,,39 Mulgrave St,Gin Gin,QLD,4671,-24.98961,151.95385,,,,,
Access Point,Gingin,,1a Lily King Place,Gingin,WA,6503,-31.345383,115.90529,,,,,
Access Point,Giru,,14 Carey Street,Giru,QLD,4809,-19.5133,147.1058,,,,,
Access Point,Glenden,,Shop 14 Glenden Town Centre,Glenden,QLD,4743,-21.3291,148.097,,,,,
Access Point,Glenthompson,,24-26 Memorial Drive,Glenthompson,VIC,3293,-37.6362,142.5468,,,,,
Agent,Gloucester,,89 King Street,Gloucester,NSW,2422,-32.0068,151.9596,,,,,
Agent,Gnowangerup,,Yougenup Rd,Gnowangerup,WA,6335,-33.9371,118.0065,,,,,
Agent,Goodooga,,8 Brenda Street,Goodooga,NSW,2838,-29.114473,147.455855,,,,,
Access Point,Goomalling,,51-53 Railway Terrace,Goomalling,WA,6460,-31.299,116.827,,,,,
Access Point,Gordonvale,,72-74 Gordon Street,Gordonvale,QLD,4865,-17.09308,145.786798,,,,,
Agent,Grantville,,1504-1510 Bass Highway,Grantville,VIC,3984,-38.4152,145.5347,,,,,
Access Point,Greenbushes,,46 Blackwood Road,Greenbushes,WA,6254,-33.8458,116.0559,,,,,
Access Point,Greenvale,,2 Acacia Drive,Greenvale,QLD,4816,-18.999473,144.979942,,,,,
Access Point,Grenfell,,92 Main St,Grenfell,NSW,2810,-33.8966,148.1604,,,,,
Agent,Gulargambone,,Cnr Bourbah & Munnell Sts,Gulargambone,NSW,2828,-31.3298,148.4708,,,,,
Access Point,Gulgong,,94 Herbert Street,Gulgong,NSW,2852,-32.3659,149.5331,,,,,
Agent,Gunbalanya,Oenpelli,Oenpelli Rd,Gunbalanya,NT,822,-12.322787,133.056425,,,,,
Agent,Gundagai,,245 Sheridan Street,Gundagai,NSW,2722,-35.0637,148.1062,,,,,
Access Point,Gunning,Doogle,90 Yass Street,Gunning,NSW,2581,-34.7825,149.2663,,,,,
Agent,Haasts Bluff,Ikuntji,"Lot 57, Ikuntji Community Via",Haasts Bluff,NT,872,-23.44875,131.883025,,,,,
Access Point,Harden,,East Street,Harden,NSW,2587,-34.553253,148.36798,,,,,
Access Point,Harvey,,5 Gibbs St,Harvey,WA,6220,-33.0773,115.8971,,,,,
Agent,Hay,,204-216 Lachlan Street,Hay,NSW,2711,-34.5125,144.8467,,,,,
Agent,Heathcote,,55 Hospital Street,Heathcote,VIC,3523,-36.925191,144.709975,,,,,
Access Point,Herberton,,Shop 3/49 Grace Street,Herberton,QLD,4887,-17.3842,145.3859,,,,,
Agent,Hermannsburg,Ntaria,"Lot 58, Ntaria Community",Hermannsburg,NT,872,-23.942497,132.777148,,,,,
Access Point,Heyfield,,5 George Street,Heyfield,VIC,3858,-37.9802,146.7862,,,,,
Access Point,Hillston,,175 High Street,Hillston,NSW,2675,-33.4871,145.5329,,,,,
Agent,Holbrook,,39 Young St,Holbrook,NSW,2644,-35.7232,147.3162,,,,,
Access Point,Home Hill,,58 Eighth Ave,Home Hill,QLD,4806,-19.8446,147.4135,,,,,
Agent,Hope Vale,,33 - 36 Muni Street,Hope Vale,QLD,4895,-15.297222,145.108205,,,,,
Access Point,Hopetoun WA,,Veal Street,Hopetoun WA,WA,6348,-33.9487,120.1261,,,,,
Access Point,Hopetoun WV,,75 Lascelles Street,Hopetoun WV,VIC,3396,-35.7288,142.3638,,,,,
Agent,Hughenden,,32 Stansfield St,Hughenden,QLD,4821,-20.8511,144.1948,,,,,
Access Point,Hyden,,40 Naughton St,Hyden,WA,6359,-32.4476,118.8598,,,,,
Access Point,Iluka,,38 Charles St,Iluka,NSW,2466,-29.4,153.35,,,,,
Agent,Imanpa,Mt Ebenezer,"Lot 47,12 Mumu Street",Imanpa,NT,872,-25.128915,132.571031,,,,,
Agent,Imintji,,Gibb River Road,Imintji,WA,6728,-17.150151,125.460334,,,,,
Access Point,Inglewood,,55 Albert Street,Inglewood,QLD,4387,-28.4167,151.079,,,,,
Agent,Injinoo,,Mc Donnell Street,Injinoo,QLD,4876,-10.9046,142.3258,,,,,
Agent,Irrunytju,Wingellina,"Lot 61, Irrunytju Rd, Irrunytju via",Irrunytju,WA,872,-26.067469,128.9319,,,,,
Access Point,Ivanhoe,,Lot 13 Columbus Street,Ivanhoe,NSW,2878,-32.895665,144.30234,,,,,
Agent,Iwantja,Indulkana,Iwantja Community Via,Iwantja,SA,872,-26.965679,133.308629,,,,,
Agent,Jabiru,,Kakadu Employment Centre,Jabiru,NT,886,-12.673192,132.835068,,,,,
Access Point,Jericho,,8 Darwin St,Jericho,QLD,4728,-23.6021,146.125,,,,,
Access Point,Jerramungup,,8-10 Tobruk St,Jerramungup,WA,6337,-33.9402,118.9182,,,,,
Agent,Jigalong,,Jigalong Community,Jigalong,WA,6753,-23.35949,120.78458,,,,,
Agent,Jilkminggan,Duck Creek,Roper Highway,Jilkminggan,NT,852,-14.953055,133.3,,,,,
Agent,Jindabyne,,Kosciusko Rd,Jindabyne,NSW,2627,-36.4188,148.6173,,,,,
Access Point,Julia Creek,,29 Burke Street,Julia Creek,QLD,4823,-20.626733,141.745969,,,,,
Agent,Junee,,29 Belmore Street,Junee,NSW,2663,-34.8706,147.5849,,,,,
Agent,Jurien Bay,,67 Bashford Street,Jurien Bay,WA,6516,-30.306619,115.038103,,,,,
Access Point,Kadjina,,Kadjina Community via Fitzroy Crossing,Kadjina,WA,6765,-18.825818,124.941191,,,,,
Access Point,Kalannie,,67 Roche Street,Kalannie,WA,6468,-30.3507,117.1134,,,,,
Agent,Kalbarri,,Lot 535 Hackney Street,Kalbarri,WA,6536,-27.7118,114.1655,,,,,
Agent,Kalkarindji,Wave Hill,9 Libanangu Rd,Kalkarindji,NT,852,-17.399343,130.803072,,,,,
Agent,Kaltjiti,Fregon,Kaltjiti Community Via,Kaltjiti,SA,872,-26.763343,132.028206,,,,,
Agent,Kaltukatjara,Docker River,"Lot 227,12 Eagle Street",Kaltukatjara,NT,872,-24.874833,129.08311,,,,,
Agent,Kalumburu,,Kalumburu Road,Kalumburu,WA,6740,-14.295004,126.643413,,,,,
Access Point,Kambalda,,2-6 Barnes Drive,Kambalda,WA,6442,-31.2149,121.6267,,,,,
Access Point,Kandos,,30 Angus Street,Kandos,NSW,2848,-32.8574,149.9769,,,,,
Access Point,Karoonda,,31 Railway Tce,Karoonda,SA,5307,-35.0937,139.8895,,,,,
Agent,Katanning,,16 Albion Street,Katanning,WA,6317,-33.669004,117.556224,,,,,
Agent,Keith,,34 Hender Street,Keith,SA,5267,-36.09817,140.35489,,,,,
Access Point,Kellerberrin,,94 Massingham Street,Kellerberrin,WA,6410,-31.6343,117.7187,,,,,
Access Point,Kendall,,19 Comboyne Street,Kendall,NSW,2439,-31.6303,152.7036,,,,,
Agent,Kerang,,"Shop 1, 22 Victoria Street ",Kerang,VIC,3579,-35.73445,143.919851,,,,,
Agent,Kilkivan,,26 Bligh Street,Kilkivan,QLD,4600,-26.0836,152.2368,,,,,
Access Point,Kilmore,,12 Sydney Street,Kilmore,VIC,3764,-37.294345,144.9523,,,,,
Access Point,Kimba,,Cnr Cross St And West Tce,Kimba,SA,5641,-33.1391,136.4211,,,,,
Access Point,Kinglake,,19 Whittlesea-Kinglake Rd,Kinglake,VIC,3763,-37.5318,145.341,,,,,
Agent,Kingscote,Kangaroo Island,22 Telegraph Road,Kingscote,SA,5223,-35.6561,137.6383,,,,,
Access Point,Kingston SE,,1 Hanson Street,Kingston SE,SA,5275,-36.8282,139.8518,,,,,
Agent,Kintore,Walungurru,"Lot 113, Walungurru Community Via",Kintore,NT,872,-23.275734,129.384281,,,,,
Agent,Kiwirrkurra,,Lot 68b Kiwirrkurra Community,Kiwirrkurra,WA,872,-22.816745,127.763809,,,,,
Access Point,Kojonup,,109 Albany Hwy,Kojonup,WA,6395,-33.8321,117.1515,,,,,
Access Point,Kondinin,,3 Gordon Street,Kondinin,WA,6367,-32.4949,118.2676,,,,,
Access Point,Koonibba,,2 Burgoyne Street,Koonibba,SA,5690,-31.902523,133.426883,,,,,
Access Point,Koorda,,41 Railway Street,Koorda,WA,6475,-30.8238,117.4778,,,,,
Agent,Korumburra,,21 Shellcot Road,Korumburra,VIC,3950,-38.43282,145.823143,,,,,
Agent,Kowanyama,,510 Chapman Road,Kowanyama,QLD,4892,-15.474598,141.743666,,,,,
Agent,Kubin,Kubin Community,Lot 12 Ikilgau Yabu Kubin Community,Kubin,QLD,4875,-10.234031,142.218447,,,,,
Access Point,Kulin,,38 Johnston St,Kulin,WA,6365,-32.6682,118.1556,,,,,
Agent,Kunawarritji,,Canning Stock Route,Kunawarritji,WA,6753,-22.32918,124.727774,,,,,
Access Point,Kupungarri,,Gibb River Road,Kupungarri,WA,6728,-16.719643,125.929988,,,,,
Agent,Kuranda,,Shop 2/40 Coondoo Street,Kuranda,QLD,4881,-16.820581,145.636585,,,,,
Agent,Kyabram,,21 - 25 Lake Road,Kyabram,VIC,3620,-36.316,145.0457,,,,,
Agent,Kyneton,,47 High Street,Kyneton,VIC,3444,-37.2479,144.4535,,,,,
Agent,Kyogle,,8 Geneva Street,Kyogle,NSW,2474,-28.6201,153.005,,,,,
Access Point,Lady Barron,,16 West Street,Lady Barron,TAS,7255,-40.2103,148.239,,,,,
Agent,Laidley,,13 Mary Street,Laidley,QLD,4341,-27.6396,152.3939,,,,,
Agent,Lajamanu,Hooker Creek,"Lot 333, Central Desert Regional Council Office",Lajamanu,NT,852,-18.338115,130.637419,,,,,
Access Point,Lake Bolac,,2110 Glenelg Highway,Lake Bolac,VIC,3351,-37.7141,142.8394,,,,,
Agent,Lake Cargelligo,,30 Foster Street,Lake Cargelligo,NSW,2672,-33.298908,146.370322,,,,,
Access Point,Lake Grace,(lakes Link),Absolon Street,Lake Grace,WA,6353,-33.1029,118.4601,,,,,
Agent,Lake Tyers,,1 Rules Rd,Lake Tyers,VIC,3887,-37.8401,148.099,,,,,
Agent,Lakes Entrance,,18-26 Jemmeson Street,Lakes Entrance,VIC,3909,-37.8793,147.9914,,,,,
Access Point,Lameroo,,76 Railway Terrace North,Lameroo,SA,5302,-35.329161,140.517059,,,,,
Agent,Lancelin,,117 Gingin Road,Lancelin,WA,6044,-31.0191,115.3345,,,,,
Access Point,Lang Lang,,7 Westernport Road,Lang Lang,VIC,3984,-38.264,145.5635,,,,,
Agent,Laramba,,"Lot 76, 12 Ayerrer Street",Laramba,NT,870,-22.532179,132.756619,,,,,
Agent,Laura,,2 Peninsular Development Road,Laura,QLD,4892,-15.56148,144.448967,,,,,
Access Point,Leeman,,2 Spencer Street,Leeman,WA,6514,-29.947644,114.978449,,,,,
Access Point,Leigh Creek,,"Town Centre, Leigh Creek",Leigh Creek,SA,5731,-30.592337,138.402712,,,,,
Access Point,Leitchville,,Cnr King Albert & King George Streets,Leitchville,VIC,3567,-35.9092,144.3051,,,,,
Agent,Leongatha,,2 Michael Place,Leongatha,VIC,3953,-38.4764,145.9457,,,,,
Agent,Leonora,,78 Tower Street,Leonora,WA,6438,-28.884837,121.32463,,,,,
Agent,Lightning Ridge,,10 Opal Street,Lightning Ridge,NSW,2834,-29.42873,147.97912,,,,,
Agent,Lockhart River,,Matthauy Street,Lockhart River,QLD,4892,-12.786597,143.341536,,,,,
Agent,Looma,,Lot 36 Lungura Drive,Looma,WA,6728,-18.040365,124.149204,,,,,
Agent,Lorne,,16 Mountjoy Parade,Lorne,VIC,3232,-38.540894,143.975152,,,,,
Agent,Lowood,,24 Railway Street,Lowood,QLD,4311,-27.461718,152.58195,,,,,
Access Point,Loxton,,15 Drabsch Street,Loxton,SA,5333,-34.451556,140.568887,,,,,
Access Point,Lucindale,,Musgrave Avenue,Lucindale,SA,5272,-36.973,140.3672,,,,,
Agent,Mabuiag Island,,Map Street,Mabuiag Island,QLD,4875,-9.956966,142.188534,,,,,
Access Point,MacDonald Downs Store,Mt Swan Station,Plenty Highway Via,MacDonald Downs Store,NT,872,-22.612651,135.034572,,,,,
Access Point,Maclean,,50 River Street,Maclean,NSW,2463,-29.459125,153.196974,,,,,
Access Point,Macleay Island,,Cnr Southsea Terrace & High Central Road,Macleay Island,QLD,4184,-27.628904,153.363007,,,,,
Agent,Maitland,,3 Robert Street,Maitland,SA,5573,-34.3738,137.6727,,,,,
Access Point,Malanda,,27 English Street,Malanda,QLD,4885,-17.351906,145.592272,,,,,
Agent,Mallacoota,,Cnr Genoa Rd & Mattsson St,Mallacoota,VIC,3892,-37.5582,149.754,,,,,
Access Point,Manangatang,,1/31 Wattle Street,Manangatang,VIC,3546,-35.0536,142.8827,,,,,
Agent,Manilla,,210 Manilla Street,Manilla,NSW,2346,-30.7466,150.7203,,,,,
Agent,Manjimup,,45 Rose St,Manjimup,WA,6258,-34.2398,116.1457,,,,,
Agent,Mannum,,71 Randell Street,Mannum,SA,5238,-34.9183,139.3036,,,,,
Agent,Mansfield,,145-147 High Street,Mansfield,VIC,3722,-37.056,146.0896,,,,,
Agent,Mantamaru,Jameson,"Lot 1, Mantamaru Community Via",Mantamaru,WA,872,-25.860577,127.663659,,,,,
Access Point,Manyallaluk,Eva Valley,Lot 36 Manyallaluk Community,Manyallaluk,NT,852,-14.267817,132.830967,,,,,
Agent,Mapoon,,1 Main Street,Mapoon,QLD,4874,-12.018918,141.901259,,,,,
Agent,Marble Bar,Pipunya,Lot 11 Francis Street,Marble Bar,WA,6760,-21.171678,119.745203,,,,,
Agent,Margaret River,,"Unit 5, 145 Bussell Highway",Margaret River,WA,6285,-33.9523,115.0739,,,,,
Agent,Mataranka,,36 Roper Terrace,Mataranka,NT,852,-14.924152,133.068328,,,,,
Access Point,Mathoura,,23 Moama Street,Mathoura,NSW,2710,-35.8129,144.8977,,,,,
Agent,Menindee,,51 Yartla Street,Menindee,NSW,2879,-32.390676,142.41828,,,,,
Access Point,Meningie,,82 Princes Highway,Meningie,SA,5264,-35.6905,139.3372,,,,,
Agent,Menzies,,Walsh St,Menzies,WA,6436,-29.693335,121.0030398,,,,,
Agent,Mer Island,Murray Island,Lot 2 Marou Street,Mer Island,QLD,4875,-9.910751,144.047544,,,,,
Agent,Merimbula,,5-7 Merimbula Drive,Merimbula,NSW,2548,-36.887814,149.910347,,,,,
Agent,Merredin,,110 Barrack Street,Merredin,WA,6415,-31.4823,118.2811,,,,,
Access Point,Merriwa,,Cnr Vennacher & Bettington Streets,Merriwa,NSW,2329,-32.1418,150.3552,,,,,
Agent,Miles,,73A Murilla Street,Miles,QLD,4415,-26.6651,150.1844,,,,,
Agent,Milikapiti,Snake Bay,Lot 222,Milikapiti,NT,822,-11.42163,130.672606,,,,,
Agent,Milingimbi,,Lot 36 Milingimbi Community,Milingimbi,NT,822,-12.104158,134.920634,,,,,
Access Point,Millaa Millaa,,21 Main Street,Millaa Millaa,QLD,4886,-17.5115,145.6115,,,,,
Agent,Millicent,,57-59 George Street,Millicent,SA,5280,-37.5949,140.3549,,,,,
Agent,Millmerran,,30-32 Campbell Street,Millmerran,QLD,4357,-27.876453,151.270195,,,,,
Access Point,Milyakburra,Bickerton Island,Milyakburra Community,Milyakburra,NT,822,-13.782804,136.195949,,,,,
Agent,Mimili,,Mimili Community Via,Mimili,SA,872,-27.005037,132.710595,,,,,
Agent,Mindibungu,Bililuna,Mindibungu Community Via,Mindibungu,WA,6770,-19.555787,127.660053,,,,,
